AddressL1,City,State,Outcode,Incode,Lat,Long
94 Sierra Street,The Pas,MB,R9A,P0T,53.8228,-101.2356
11 North Homestead Rd,Kingston,ON,E5S,L3L,45.3571,-66.0858
9072 Coffee Rd,Waverley,NS,B2R,K4Y,44.7431,-63.5144
762 Ridgeview Court,Boucherville,QC,J4B,H6E,45.5685,-73.423
7448 Adams Ave,Bromont,QC,J2L,G6N,45.3161,-72.6501
38 Plumb Branch Drive,Hawkesbury,ON,K6A,J1Y,45.6101,-74.6085
72 Walnut St,St. Mary's,ON,N4X,G6N,43.261,-81.1516
9647 Hartford Dr,Iona,NS,B2C,K9K,45.6218,-62.0004
9097 Manchester Drive,White Rock,BC,V4B,M4E,49.0268,-122.8369
38 Oakland Street,Baden,ON,N3A,L2A,43.4161,-80.688
9 Kent Street,Corner Brook,LB,A2H,N6B,48.9654,-57.9225
8943 Lafayette Rd,Devon,AB,T9G,B8R,53.3632,-113.7286
8 Lees Creek Avenue,Woodstock,NB,E7M,K3L,46.1368,-67.5817
8486 Penn Drive,Highlands,BC,V9B,T4K,48.4519,-123.4417
941 North South St,Williams Lake,BC,V2G,E6H,52.1276,-122.1271
9 North Winding Way St,Carleton Place,ON,K7C,J3G,45.135,-76.1313
1 New Road,Owen Sound,ON,N4K,B8L,44.5519,-80.9385
922 Garden St,Becancour,QC,G9H,R0T,46.3445,-72.4369
555 Cottage Drive,Chestermere,AB,T1X,G1Y,51.0512,-113.8155
9998 Helen St,Ste. Anne,MB,R5H,H4B,49.6667,-96.648
223 Howard Court,Lockport,MB,R1B,R2R,50.0958,-96.9329
7053 Tailwater Dr,Black Lake,QC,G6H,H1C,46.0654,-71.356
8588 North Hillside Ave,Varennes,QC,J3X,V5R,45.6911,-73.4312
158 8th Street,Sturgeon Falls,ON,P2B,A3V,46.3664,-79.9178
970 Galvin Lane,Acton,ON,L7J,R6C,43.634,-80.0491
7933 Williams Dr,Cartier,MB,R4K,B5V,49.8298,-97.7549
50 Homewood St,Meaford,ON,N4L,C3A,44.6079,-80.5922
62 E Nichols St,Hartland,NB,E7P,X6G,46.3709,-67.445
8724 Green Lake Ave,Olds,AB,T4H,H4G,51.7956,-114.0944
8711 Sussex St,Belledune,NB,E8G,P5H,47.8741,-65.9102
55 Lantern Avenue,Minto,NB,E4B,S4T,45.9393,-66.09
8724 St Louis Drive,Uxbridge,ON,L9P,X3J,44.1065,-79.1427
9898 W Bank Street,Bracebridge,ON,P1L,L4H,45.057,-79.3366
91 Airport Ave,Hampton,NB,E5N,G0E,45.5263,-65.8155
774 Garfield Ave,The Pas,MB,R9A,R5H,53.8228,-101.2356
67 Swanson Lane,Burtts Corner,NB,E6L,V9S,46.12,-66.9477
131 W Union Street,Roxboro,QC,H8Y,L9V,45.5145,-73.8162
46 Valley Drive,Vermilion,AB,T9X,P2M,53.3515,-110.8451
8746 Arcadia Court,Acton,ON,L7J,L4L,43.634,-80.0491
58 North Birch Hill St,Ville Émard,QC,H4E,H1P,45.468,-73.5863
28 Holly Ave,Loch Lomond,NS,B2E,T5V,45.6272,-61.9977
74 Cambridge Dr,Tantallon,NS,B3Z,A6X,44.5539,-63.8307
54 Mammoth Drive,Tecumseh Outskirts,ON,N8N,C6A,42.3326,-82.8926
8159 Fifth Ave,Olds,AB,T4H,S7L,51.7956,-114.0944
6 Galvin Ave,Brockville,ON,K6V,S9V,44.5906,-75.6808
9454 South Miller Ave,Kingsville,ON,N9Y,M0K,42.0377,-82.7394
497 West Water St,Midland,ON,L4R,C8L,44.7542,-79.9005
45 Ocean Ave,Gananoque,ON,K7G,H4S,44.3319,-76.1471
755 Young Road,Minto,NB,E4B,K6N,45.9393,-66.09
81 West Windsor Dr,Senneville,QC,H9K,L1X,45.4643,-73.8936
8039 Grandrose St,Ladysmith,BC,V9G,A8K,50.089,-125.3444
8302 SE Nichols St,Harrietsfield,NS,B3V,A2B,44.5682,-63.6177
9010 Inverness Lane,Parksville,BC,V9P,B1S,49.3233,-124.3227
646B Bald Hill St,Windsor,QC,A2B,K0G,48.949,-55.6725
65 Pilgrim Drive,Essex,ON,N8M,X6V,42.1754,-82.8226
7759 Van Dyke Street,Plessisville,QC,G6L,L7S,46.2255,-71.7779
44 Garfield Street,Carleton Place,ON,K7C,X6X,45.135,-76.1313
5 Acacia Circle,Senneville,QC,H9K,Y7V,45.4643,-73.8936
26 Purple Finch Drive,Alliston,ON,L9R,B6Y,44.1513,-79.8744
93 Littleton Ave,Mercier,QC,J6R,M5T,45.3063,-73.748
3 Atlantic Dr,Castlegar,BC,V1N,T7R,49.3298,-117.6607
440 Cleveland Lane,Chibougamau,QC,G8P,C5Y,49.9214,-74.3601
64 Homestead Street,Petawawa,ON,K8H,E4Y,45.9151,-77.2754
154 Taylor Street,Brockville,ON,K6V,A7N,44.5906,-75.6808
56 Linda Dr,Stephenville,LB,A2N,N3S,48.5656,-58.6
8 Cottage Street,Mercier,QC,J6R,K8T,45.3063,-73.748
7125 Saxon St,Selkirk,MB,R1A,T2J,50.1483,-96.8756
73 NE Shadow Brook Court,La Baie,QC,G7B,L8E,48.3133,-70.8557
26 Mechanic Street,Collingwood,ON,L9Y,P7K,44.5029,-80.2176
8583 Pierce Avenue,Richibucto,NB,E4W,L1V,46.6493,-64.8842
2 Wrangler Street,Clarenville,LB,A5A,T3R,48.1666,-53.9628
785 Van Dyke St,Kapuskasing,ON,P5N,K0E,49.4134,-82.4203
463 Jackson St,Becancour,QC,G9H,T5R,46.3445,-72.4369
399 Swanson Street,Perth,ON,K7H,J1T,44.902,-76.2457
5 Ramblewood Ave,Roxboro,QC,H8Y,E5C,45.5145,-73.8162
34 Studebaker Drive,Edmundston,NB,E3V,M7M,47.3614,-68.3218
5 Tallwood Street,Corner Brook,LB,A2H,G4C,48.9654,-57.9225
30 N Clinton Drive,Bridgewater,NS,B4V,J5N,44.3683,-64.506
595 Orchard St,Doaktown,NB,E9C,Y9H,46.4477,-66.2584
92 E Redwood Ave,Bouctouche,NB,E4S,H7E,46.4171,-64.9241
790 SW Oxford St,Hampstead,QC,H3X,A5S,45.4915,-73.6483
850 White St,Whitecourt,AB,T7S,B9R,54.1407,-115.6873
9401 Wagon Street,Conception Bay,LB,A1X,B8B,47.5238,-52.9595
691 East Sherwood St,Albanel,QC,G8M,K1H,48.8892,-72.1938
9616 Bank Rd,Chibougamau,QC,G8P,S1P,49.9214,-74.3601
674 South Rose Lane,Millville,NB,E6E,P5B,46.1296,-67.1953
74 Hudson St,Olds,AB,T4H,S0L,51.7956,-114.0944
86 West Mayfair St,La Plaine,QC,J7M,T5V,45.7915,-73.7559
8889 North Birchpond St,Listowel,ON,N4W,R1T,43.7315,-80.9533
4 Sheffield Dr,Allardville,NB,E8L,E6T,47.5887,-65.0979
14 Virginia St,Stanley,NB,E6B,R8E,46.2324,-66.6683
329 Green Hill Street,Beaumont,AB,T4X,B7M,53.3571,-113.4129
7 Swanson Court,Fourchu,NS,B2J,M2A,45.3747,-63.2951
180 Jefferson Drive,Marieville,QC,J3M,S4P,45.4355,-73.1738
2 Goldfield St,Port Moody,BC,V3H,N9E,49.2707,-122.883
970B Tarkiln Hill Lane,Vegreville,AB,T9C,M2K,53.4874,-112.0636
28 E Amherst St,Beauceville,QC,G5X,G6T,46.2093,-70.7788
558 Forest Lane,St. Adolphe,MB,R5A,S6A,49.7082,-96.9867
370 NE Hill Field Street,Carbonear,LB,A1Y,X0T,48.9268,-55.6613
11 Olive Street,Bromont,QC,J2L,X9G,45.3161,-72.6501
72 Indian Summer St,Rockland,ON,K4K,N8N,45.5415,-75.3062
995 Trout Drive,The Pas,MB,R9A,Y6C,53.8228,-101.2356
7573 San Carlos Lane,Bracebridge,ON,P1L,L1C,45.057,-79.3366
119 Main Street,Kedgwick,NB,E8B,A3Y,47.6454,-67.3437
829 Bayport Street,Chelsea,QC,J9B,A4G,45.4039,-75.826
8657 Princeton Court,Barrhead,AB,T7N,N7E,54.1136,-114.3932
8512 Myers St,Yorkton,SK,S3N,M7B,51.202,-102.457
484 Gartner Dr,Bonnyville,AB,T9N,N2T,54.2678,-110.7324
475 Branch Ave,Port Colborne,ON,L3K,V2C,42.8754,-79.237
932 College Lane,Kingsclear,NB,E3E,K8V,45.8134,-66.932
278 Tarkiln Hill St,Gander,LB,A1V,X4N,48.9632,-54.6169
3 Vernon Street,Big Bras d'Or,NS,B1X,X0K,46.2667,-60.4333
485 Bay Drive,Antigonish,NS,B2G,S3B,45.6243,-61.9996
714 Locust Court,Kedgwick,NB,E8B,E8L,47.6454,-67.3437
910 Bridgeton St,Bouctouche,NB,E4S,L5B,46.4171,-64.9241
13 Washington Street,Caraquet,NB,E1W,J4J,47.7624,-65.0324
254 Strawberry Street,Devon,AB,T9G,G2S,53.3632,-113.7286
761 Pumpkin Hill Drive,Kitimat,BC,V8C,Y8A,54.0662,-128.6508
17 S College Dr,Plaster Rock,NB,E7G,X9A,46.9097,-67.3971
73 NE Nut Swamp Dr,Oromocto,NB,E2V,R9L,45.8509,-66.467
54 Beach Avenue,Sylvan Lake,AB,T4S,P3C,52.3083,-114.0949
353 NW Purple Finch Lane,Riverview,NB,E1B,A6A,46.0738,-64.755
8080 South Woodside Drive,Cumberland,ON,K4C,A7M,45.5177,-75.4108
52 Depot Ave,Asbestos,QC,J1T,L6E,45.7808,-71.9348
901 Carson Street,Asbestos,QC,J1T,A9N,45.7808,-71.9348
7207 Jennings Street,Kitimat,BC,V8C,G8R,54.0662,-128.6508
352 South Mayfair Street,Dorval Outskirts,QC,H9P,P9P,45.4617,-73.7305
738 South Oak Valley St,Milton,ON,L9T,M6P,43.5034,-79.8773
18 Clinton Lane,Wainwright,AB,T9W,C8V,52.8403,-110.8704
46 Holly Drive,Degelis,QC,G5T,S5L,47.5521,-68.6441
7584 Bridgeton Street,Delson,QC,J5B,T8J,45.4024,-73.5376
925 Colonial Dr,Salisbury,NB,E4J,Y5M,45.9787,-64.9898
990 East Bradford St,Bayfield,NB,E4M,A0C,46.0957,-63.9068
889 Indian Summer St,Swift Current,SK,S9H,X2C,50.2875,-107.8113
7281 SE Greenview Street,Stony Plain,AB,T7Z,H9N,53.5202,-114.0135
10 10th Ave,Listowel,ON,N4W,E1N,43.7315,-80.9533
8 East Fairground St,Camrose,AB,T4V,T5G,53.0204,-112.8129
43 S North Dr,Grand Falls,LB,A2A,G4P,48.9249,-55.6493
8731 Cleveland Street,Kedgwick,NB,E8B,G1S,47.6454,-67.3437
51 Sunset Dr,Leamington,ON,N8H,M1X,42.0606,-82.6029
287 E Linda Street,Valleyfield,QC,J7X,X6M,45.2616,-74.2078
64 Williams Dr,Place Bonaventure,QC,H5A,P6V,45.503,-73.5679
43 Vernon Court,Black Lake,QC,G6H,C8T,46.0654,-71.356
84 Tanglewood Lane,Canmore,AB,T1W,M6E,51.0868,-115.3384
9074 Shady Street,Uxbridge,ON,L9P,M9A,44.1065,-79.1427
